zip_code,city
11000,"Beograd"
11010,"Beograd Vozdovac"
11030,"Beograd Čukarica"
11050,"Beograd Zvezdara"
11060,"Beograd Palilula"
11070,"Novi Beograd"
11080,"Beograd Zemun"
11090,"Beograd Rakovica"
11130,"Kaluđerica"
11194,"Rušanj"
11211,"Borča"
11212,"Ovča"
11213,"Padinska Skela"
11223,"Beli Potok"
11224,"Vrčin"
11225,"Zuce"
11226,"Pinosava"
11232,"Ripanj"
11233,"Ralja"
11235,"Mali Požarevac"
11251,"Ostružnica"
11253,"Sremčica"
11260,"Umka"
11261,"Mala Moštanica"
11262,"Velika Mostanica"
11271,"Surčin"
11272,"Dobanovci"
11275,"Boljevci"
11276,"Jakovo"
11277,"Ugrinovci"
11279,"Bečmen"
11280,"Progar"
11282,"Petrovcic"
11300,"Smederevo"
11306,"Grocka"
11307,"Boleč"
11308,"Begaljica"
11309,"Leštane"
11310,"Lipe"
11311,"Radinac"
11312,"Mihajlovac"
11313,"Mala Krsna"
11314,"Osipaonica"
11315,"Saraorci"
11316,"Golobok"
11317,"Lozovik"
11318,"Miloševac"
11319,"Krnjevo"
11320,"Velika Plana"
11321,"Lugavcina"
11322,"Skobalj"
11323,"Veliko Orašje"
11324,"Staro Selo"
11325,"Markovac"
11326,"Donja Livadica"
11327,"Rakinac"
11328,"Vodanj"
11329,"Vranovo"
11351,"Vinča"
11400,"Mladenovac"
11406,"Vlaška"
11407,"Selevac"
11408,"Velika Krsna"
11409,"Kovačevac"
11411,"Ratari"
11412,"Jagnjilo"
11413,"Pružatovac"
11414,"Velika Ivanča"
11415,"Koraćica"
11420,"Smederevska Palanka"
11423,"Azanja"
11424,"Banicina"
11425,"Kusadak"
11426,"Meljak"
11427,"Vranić"
11430,"Umčari"
11431,"Kolari"
11432,"Drugovac"
11433,"Šepšin"
11450,"Sopot"
11453,"Rogača"
11454,"Sibnica"
11460,"Barajevo"
11461,"Beljina"
11462,"Veliki Borak"
11500,"Obrenovac"
11504,"Barič"
11505,"Zabrežje"
11506,"Draževac"
11507,"Stubline"
11508,"Grabovac"
11509,"Skela"
11550,"Lazarevac"
11560,"Vreoci"
11561,"Dudovica"
11562,"Junkovac"
11563,"Veliki Crljeni"
11564,"Stepojevac"
11565,"Barosevac"
11566,"Rudovci"
11567,"Mirosaljci"
12000,"Požarevac"
12205,"Brezane"
12206,"Bradarac"
12207,"Dubravica"
12208,"Kostolac"
12209,"Kličevac"
12220,"Veliko Gradište"
12221,"Majilovac"
12222,"Braničevo"
12223,"Golubac"
12224,"Dobra"
12225,"Bratinac"
12226,"Topolovnik"
12229,"Vinci"
12230,"Brnjica"
12240,"Kučevo"
12242,"Neresnica"
12253,"Srednjevo"
12254,"Rabrovo"
12255,"Duboka"
12256,"Voluja"
12258,"Klenje"
12300,"Petrovac Na Mlavi"
12304,"Ranovac"
12305,"Melnica"
12306,"Veliko Laole"
12307,"Burovac"
12309,"Šetonje"
12311,"Malo Crniće"
12312,"Smoljinac"
12313,"Bozevac"
12314,"Veliko Selo"
12315,"Rašanac"
12316,"Krepoljin"
12317,"Osanica"
12318,"Vukovac"
12320,"Žagubica"
12321,"Laznica"
12322,"Suvi Do"
12370,"Aleksandrovac"
12371,"Vlaški Do"
12372,"Poljana"
12373,"Simićevo"
12374,"Žabari"
12375,"Porodin"
14000,"Valjevo"
14201,"Brankovina"
14202,"Rajković"
14203,"Dračić"
14204,"Divčibare"
14205,"Lelić"
14206,"Poćuta"
14207,"Pećka"
14210,"Ub"
14211,"Radljevo"
14212,"Brgule"
14213,"Pambukovica"
14214,"Banjani"
14221,"Popučke"
14222,"Divci"
14223,"Slovac"
14224,"Lajkovac"
14225,"Bogovadja"
14226,"Jabučje"
14240,"Ljig"
14242,"Mionica"
14243,"Gornja Toplica"
14244,"Brezde"
14245,"Slavkovica"
14246,"Belanovica"
14251,"Pricevic"
14252,"Kamenica"
14253,"Osečina"
14254,"Komirić"
14255,"Stave"
15000,"Šabac"
15211,"Mačvanski Pričinović"
15212,"Drenovac"
15213,"Orid"
15214,"Debeljača"
15215,"Provo"
15220,"Koceljeva"
15221,"Svileuva"
15222,"Kamenica"
15224,"Cerovac"
15225,"Vladimirci"
15226,"Draginje"
15227,"Donje Crniljevo"
15232,"Varna"
15233,"Metlić"
15234,"Tekeriš"
15235,"Dobrić"
15300,"Loznica"
15302,"Korenita"
15303,"Tršić"
15304,"Petlovača"
15305,"Lipolist"
15306,"Prnjavor Mačvanski"
15307,"Lešnica"
15308,"Jadranska Lešnica"
15309,"Brezjak"
15310,"Ribari"
15311,"Draginac"
15312,"Zavlaka"
15313,"Bela Crkva"
15314,"Krupanj"
15315,"Zajaca"
15316,"Banja Koviljača"
15317,"Donja Borina"
15318,"Mali Zvornik"
15319,"Uzovnica"
15320,"Ljubovija"
15321,"Radalj"
15322,"Velika Reka"
15323,"Donja Orovica"
15324,"Drlace"
15350,"Bogatić"
15352,"Zminjak"
15353,"Majur"
15354,"Štitar"
15355,"Crna Bara"
15356,"Glušci"
15357,"Klenje"
15358,"Badovinci"
15359,"Dublje"
15362,"Banovo Polje"
16000,"Leskovac"
16201,"Manojlovce"
16203,"Vučje"
16204,"Miroševce"
16205,"Bojnik"
16206,"Kosančić"
16210,"Vlasotince"
16212,"Svođe"
16213,"Sastav Reka"
16215,"Crna Trava"
16220,"Grdelica"
16221,"Velika Grabovnica"
16222,"Predejane"
